student_id,course_count,courses
0000217e-c7c1-4d2d-be1d-25c688876bb7,3,17 3 22
0025dffe-7dde-4125-9821-9a5c56fa6c85,6,14 10 16 5 6 17
004bd9ad-a692-4bbc-885d-a5c7a56f7148,3,9 7 5
00538933-a590-40ee-95cf-93e00d2807fb,5,7 20 3 2 14
0057664c-1c6d-4199-9a8c-52b1e8a7b353,5,22 10 8 4 2
0063f160-80d6-44a0-ab6a-a1248d798f8c,5,19 2 5 22 4
0067feff-454e-447e-b0c2-b9835eab7dac,3,7 10 6
006912df-2941-4a6a-8996-f1e50b548e4c,4,11 7 10 9
0070e573-2a68-4921-8740-668031cf7a87,5,21 10 16 8 22
007671cd-9265-419f-80ca-1273fd610bde,5,18 20 21 3 4
007a059d-b011-43a6-bb17-f3e76dbc79d6,6,18 4 9 20 15 7
008336cf-7319-4677-b67f-245adc36e77a,5,21 16 13 2 9
009a6362-9385-4adf-a46b-99db7df991c4,4,9 19 4 13
00aa7f3d-f6fe-42e7-a153-9f9ebe8c97d5,6,15 18 19 9 17 14
00b06c3a-3a36-459a-bf86-e3a58c631387,4,15 4 2 14
00f909b1-9e6e-4ada-9040-01f5ceea9200,5,11 6 19 14 8
00f98dfc-cdd4-40f0-bf41-86aba33d42cb,4,16 13 12 19
01064de9-1756-4b17-a2e9-0fe0888a5bc5,3,2 20 7
01120640-a988-4625-bcd0-991ae4e9405c,5,19 20 11 4 12
012d10fb-26de-47a0-902c-a332a6d57b47,4,12 10 21 22
012ed15e-7f30-42f0-8601-4e6f37e48cb1,3,22 9 19
014094ec-a366-44c2-b33c-0b8340fe0393,3,11 4 18
0155fe18-8acc-4c42-bd05-4925547af415,5,14 6 7 5 18
0158232c-a7d8-4f06-b19b-48aeea60107e,3,3 1 14
0161add6-319b-4c50-959f-d721c709ba53,6,5 16 11 4 14 9
01639489-2265-493f-aaa0-01d9d2d4ffda,3,8 15 19
016713c1-232a-4959-8d56-0a0fab393f96,4,22 3 10 17
016d1d08-b319-4557-b21d-6833ff285394,6,16 15 7 11 5 19
019851e1-7dec-4d03-ae17-fa815715659c,4,9 13 5 20
01999385-4a4d-48b6-8a04-b970f9ed5135,4,8 9 10 3
01a38623-743f-478f-9351-948590638408,5,12 19 13 22 2
01a6c597-6edd-45a1-bc8c-7fd925f45e9c,3,20 11 10
01aa8129-b7b8-4080-9012-68fd2bd0b94b,6,17 18 3 4 14 20
01ebffa6-19c6-4e2f-9223-de3a490c80e5,3,4 17 10
01f1ad7d-6e90-4bef-bce4-f179c775ba14,6,18 13 21 9 7 6
02237829-69e9-46a4-b422-b3a28dd8356a,5,11 8 12 22 13
02255790-1444-4b6b-8f39-b5229927cde2,5,9 14 20 21 3
025ca845-0469-4f77-9d17-ef82d46246f0,4,17 13 12 16
02729052-f55b-490e-bb26-ef25575794a9,3,5 14 2
027bc7d6-5455-456c-94ac-2207e8847c74,5,21 7 12 19 22
02a41e1c-9a81-49c0-a285-2f206ab0db91,5,17 12 13 16 21
02b04abf-8459-4229-8e25-58c3bf86ff34,4,9 21 3 1
02c1982b-1edc-463e-b329-705995421e15,4,3 6 1 14
02ce1501-8bda-41a1-9518-0b1356fcf887,3,14 21 10
02cf3194-c39e-4c63-b1a1-58cc4d8c845e,5,20 7 4 13 15
02f39809-13a7-4d94-82d4-fa973b5ac31c,3,14 1 6
03197b77-27ac-4577-b99e-1e74de286510,5,11 15 22 19 17
0356c6a6-b58c-4cd0-ad4b-4935ba976adf,3,7 12 6
0365abeb-4bc6-49ef-9bc0-5b25747a3a7a,3,3 4 21
039da571-66d6-40e3-86d7-7292189b50b8,4,13 18 21 3
03ac91c7-a519-4a4c-a4de-605bff649344,6,15 12 18 14 5 19
03eecc87-2dad-4bde-9acc-a4b0600c9d9e,5,22 15 16 3 18
03fdaa30-c8ba-40f4-92cb-8341bb2cc9dc,3,12 14 19
040565c2-d823-4552-91d4-512bb3b905dd,6,2 6 19 7 8 18
04117a8b-4ace-4704-b637-57013278ae38,5,14 22 19 21 10
04707d01-7e08-4b17-9093-c877722e209f,6,9 15 5 4 16 2
049e921d-378d-4f03-89af-d1e1ea2055ea,5,17 13 14 20 8
04b53d56-8357-4167-9534-67f43c7ef4a7,3,10 16 3
04b76110-4fc4-43af-b730-3d316096e7fe,6,17 19 10 6 3 2
04b7cbdc-6f5d-49f0-9226-f56fc6404583,4,5 20 8 22
0504b2c0-ce46-4e01-9112-b2ecc27fcdee,5,20 13 9 6 5
050ca06f-d4a2-4c90-96fa-96cd12451f9e,5,4 7 19 16 11
050e2c11-d146-4552-8aef-6e95a72b4dc2,4,10 2 11 12
05293fa3-0e83-4541-97ae-d5e30c81e2e7,6,4 18 3 11 8 12
052d599c-0279-4b42-a0df-9804aef9fa8b,3,17 12 13
0534538f-243a-4476-8a44-dd1914dcbd58,5,20 6 14 21 3
05350e3b-1d2e-4d09-8c88-8a111354e04b,3,15 4 10
054689d6-b38c-432e-b3f4-42c60f507b23,3,7 21 16
0554c05b-4c16-4882-aabf-de34000f1a74,6,13 1 22 9 10 3
0583e5ee-b4ad-44c4-b1af-de61ab1527d4,6,16 1 12 10 13 14
05d7e7bc-28d6-4745-90d3-6583070efa19,5,3 20 2 13 21
05dd2c44-0ae3-42d7-859e-dbd791fcb444,3,20 14 3
05eab2d1-226e-49cd-9d03-9d433e2af7c3,3,18 13 20
061d1d8e-fca8-41f7-9642-b75681cf2400,4,8 4 5 13
06349cd4-2881-42ad-9fdb-0a99c2be0476,3,21 11 9
06434855-523c-4699-94c3-374c03bff0a1,3,5 1 11
06519b6a-66d2-48df-97cd-798b32dc2c8c,4,4 2 13 7
06522c95-76e1-4ab5-ba6d-0e787ee44c45,5,5 15 7 21 12
065eee9d-62b2-4e14-86bc-120393bc4148,5,15 20 8 17 19
0685b0dd-a10d-4ca1-aa41-4a7a36f26027,4,6 13 21 19
0687d1aa-93a0-48f2-9428-1b5f9f6063d4,6,5 2 22 11 21 10
06a4c3f3-ba64-4fe5-ac8b-fa0463379431,3,14 2 1
06ce9e0a-9117-4f7b-b22c-20baae95e822,6,7 20 13 2 14 5
06d47a01-59bf-4786-b00a-a939c4c5a695,4,8 4 6 13
06f048f9-22c0-437a-8d7b-ab915422e1b4,5,17 7 16 15 13
06f5e815-0340-42c4-a430-869bafd56e36,6,18 13 2 6 11 5
06f9817f-c98b-4bde-9208-13ad8f65f70b,5,22 11 14 4 2
071dd985-f89c-4569-89d3-5343bea480ef,6,6 10 9 1 14 7
07213456-d7db-4a4b-98c8-f4847872befd,6,3 11 8 19 22 21
074e043a-ccac-4416-8adf-31bfeafd349a,3,2 14 5
0764cf6b-e6c0-45f7-b16c-f0c58cb59db6,4,6 18 2 13
0769731b-1742-45f1-87ed-8f28c1b76075,5,10 11 4 3 14
077cae26-43f2-4252-9fe6-6e9d4cebd2a0,3,15 22 19
07822047-1ffb-4f63-b976-ef92b16c6438,5,1 8 10 6 18
07d37848-9f5c-454d-a115-e0165d92b133,4,5 18 11 13
07fb649a-3785-4b1e-a281-7b8df9be5fe5,3,9 19 21
08060c7a-af60-474e-9847-c46db74184b0,3,9 13 3
0824ad9d-a566-4d85-a9a9-e0244226099d,6,15 10 19 14 21 2
0859cb28-a098-4fee-8b93-cfd753ab9219,6,5 3 10 8 13 20
085b5b32-f91c-4508-85f8-e46e89671532,4,7 20 5 9
088b3828-15ea-4f10-847a-964eff9f0640,5,3 7 17 12 10
08c439bc-4c05-4514-9b46-5d88ed84cfeb,6,12 3 14 4 8 20
08ce77a6-5ee7-4ffd-952a-1f7badd7605f,4,19 3 2 14
08e4497a-0881-450e-b489-75bcca66ada0,3,9 19 4
08e57805-c7b4-49ce-aca4-1fb969967039,5,15 5 9 22 10
090fc95d-9364-4065-a73e-5cb8a35c9b31,3,3 14 17
0930cb40-d8b0-4790-87fc-6e0bdd9dbdd6,3,7 6 1
0952172e-581f-4822-b594-08fd16736c26,4,3 15 10 12
0959d195-4cdc-42cb-a978-ca4ded63c78d,5,14 22 9 12 3
0978a8ed-472d-451c-882d-9d570af684fe,5,19 14 5 21 13
0979dcc7-ecf3-464d-acd6-1199b80355d3,5,3 2 14 16 19
099af0c0-f932-44e9-8370-9dd724cc0713,4,8 17 5 22
09a227c6-94c7-4630-9eff-0eee226d1a3c,6,17 14 1 13 10 20
09bb0f20-ea87-4fb1-a8c1-aac51d051c55,6,10 20 14 2 7 18
09d1e517-c038-4082-8654-abc345aa8112,3,13 7 5
09e9a5f3-99c4-4673-a226-1996b71f36d9,6,13 7 22 3 18 20
09f078ad-199c-4492-b182-f29d962162b0,5,2 17 5 4 12
09fe8753-5da0-48ca-90dc-c77f1f678328,3,1 14 5
0a3d203c-d75c-4c29-9084-1166a68c023e,4,4 19 10 6
0a417d82-4074-4773-b156-cee8df4782eb,3,5 7 14
0a43d548-5b92-490b-b245-2864444e141b,5,17 1 16 11 6
0a79d365-bdb6-4800-9af0-4a59fe6f030c,6,19 18 12 3 11 17
0abc926b-e5ce-432b-a4cb-af0bd9219b19,6,21 17 12 16 22 15
0ad58dcc-19a1-4e5a-983e-06a9888a6e0e,5,18 19 5 16 11
0ae45492-75fe-4dd8-85f2-176586b875c7,6,13 9 20 17 15 6
0af15f65-c5ad-4df4-87df-3d1b5a0f7fa6,5,5 4 17 22 7
0b0bdcf1-a383-46f1-a0c9-7055a9f7acc6,4,6 15 13 9
0b17e95d-866d-4617-9e1c-05f6b2f72a7d,5,19 15 16 11 6
0b25197f-e073-44ef-bc87-e52038f086d6,4,13 15 21 7
0b3993d1-fa40-485e-8d71-c122bb2c93e8,4,10 7 13 6
0b39997a-5a2f-44b6-a0ab-d5cb4fc6f7b3,5,21 2 19 1 16
0b3a4db4-0bf7-44b2-86cd-a0decbef94f3,5,17 19 7 12 15
0b3e41e6-2a86-45cf-9b76-7b4a8df2ea0f,5,16 20 7 1 21
0b7978b5-41ab-4676-9b4f-6f4717465deb,6,8 7 20 3 5 16
0b7ccc5a-024a-4997-a3fe-f5255246f56b,4,19 6 18 7
0b8c9b0f-0087-4b24-aba2-d9441c72f87b,5,15 8 6 4 21
