exam_id,period_id
E0,P100
E1,P15
E10,P14
E100,P10
E101,P12
E102,P14
E103,P18
E104,P1
E105,P1
E106,P10
E107,P1
E108,P12
E109,P16
E11,P15
E110,P1
E111,P100
E112,P100
E113,P16
E114,P19
E115,P1
E116,P12
E117,P12
E118,P14
E119,P10
E12,P10
E120,P18
E121,P11
E122,P18
E123,P17
E124,P14
E125,P1
E126,P11
E127,P11
E128,P1
E129,P11
E13,P10
E130,P17
E131,P17
E132,P14
E133,P19
E134,P11
E135,P14
E136,P10
E137,P10
E138,P14
E139,P15
E14,P15
E140,P16
E141,P17
E142,P18
E143,P12
E144,P16
E145,P19
E146,P16
E147,P18
E148,P18
E149,P10
E15,P100
E150,P15
E151,P1
E152,P14
E153,P14
E154,P18
E155,P17
E156,P10
E157,P17
E158,P15
E159,P19
E16,P11
E160,P10
E161,P11
E162,P14
E163,P19
E164,P12
E165,P100
E166,P1
E167,P10
E168,P11
E169,P15
E17,P18
E170,P18
E171,P16
E172,P100
E173,P12
E174,P100
E175,P18
E176,P16
E177,P16
E178,P1
E179,P14
E18,P14
E180,P100
E181,P10
E182,P11
E183,P100
E184,P11
E185,P10
E186,P19
E187,P15
E188,P15
E189,P100
E19,P12
E190,P10
E191,P14
E192,P11
E193,P15
E194,P12
E195,P100
E196,P19
E197,P11
E198,P16
E199,P11
E2,P16
E20,P17
E21,P15
E22,P15
E23,P18
E24,P14
E25,P17
E26,P18
E27,P1
E28,P11
E29,P18
E3,P12
E30,P17
E31,P1
E32,P16
E33,P17
E34,P17
E35,P11
E36,P19
E37,P1
E38,P100
E39,P1
E4,P15
E40,P18
E41,P100
E42,P12
E43,P10
E44,P100
E45,P16
E46,P19
E47,P11
E48,P17
E49,P14
E5,P12
E50,P100
E51,P10
E52,P100
E53,P10
E54,P18
E55,P1
E56,P15
E57,P100
E58,P10
E59,P11
E6,P11
E60,P15
E61,P100
E62,P16
E63,P12
E64,P15
E65,P14
E66,P11
E67,P18
E68,P16
E69,P14
E7,P12
E70,P11
E71,P12
E72,P17
E73,P11
E74,P12
E75,P12
E76,P11
E77,P10
E78,P18
E79,P1
E8,P19
E80,P12
E81,P16
E82,P1
E83,P17
E84,P100
E85,P16
E86,P14
E87,P1
E88,P16
E89,P14
E9,P1
E90,P17
E91,P15
E92,P12
E93,P14
E94,P10
E95,P17
E96,P1
E97,P12
E98,P10
E99,P20
