exam_id,period_id
E0,P4
E1,P1
E10,P5
E11,P5
E12,P0
E13,P1
E14,P2
E15,P1
E16,P5
E17,P0
E18,P2
E19,P5
E2,P4
E20,P6
E21,P0
E22,P3
E23,P1
E24,P0
E25,P2
E26,P6
E27,P3
E28,P1
E29,P4
E3,P1
E30,P4
E31,P2
E32,P1
E33,P2
E34,P2
E35,P5
E36,P3
E37,P5
E38,P5
E39,P3
E4,P6
E40,P5
E41,P1
E42,P5
E43,P0
E44,P3
E45,P2
E46,P1
E47,P2
E48,P6
E49,P0
E5,P3
E50,P5
E51,P0
E52,P6
E53,P4
E54,P3
E55,P6
E56,P5
E57,P4
E58,P2
E59,P4
E6,P0
E60,P1
E61,P6
E62,P0
E63,P5
E64,P3
E65,P4
E66,P3
E67,P1
E68,P0
E69,P3
E7,P0
E70,P1
E71,P0
E72,P4
E73,P3
E74,P6
E75,P1
E76,P2
E77,P5
E78,P3
E79,P3
E8,P3
E80,P4
E81,P2
E82,P0
E83,P1
E84,P4
E85,P0
E86,P2
E87,P0
E88,P1
E89,P0
E9,P4
E90,P5
E91,P2
E92,P2
E93,P4
E94,P5
E95,P3
E96,P6
E97,P4
E98,P1
E99,P3
